Element,Ma,d/(g/cm3),ra/pm,χ,I1/(kJ/mol),I2/(kJ/mol),I3/(kJ/mol),Tm/K,Tb/K,ΔfusH/(kJ/mol),ΔvapH/(kJ/mol),ΔatmH/(kJ/mol),S/(J/mol K),Cp/(J/g K),σm/(MN/m),ρ/(µΩ cm),λ/(W cm-1 K-1),ΔfG/(kJ/mol)
Sc,44.956,2.99,164,1.36,631,1235,2389,1814,3103,14.1,310,377.8,34.6,0.544,954,56.3,0.158,-284
Y,88.906,4.47,180,1.22,616,1177.1,1979.9,1795,3610,11.4,393.3,424.7,44.4,0.298,871,59.6,0.172,-390
La,138.906,6.15,188,1.1,538.1,1067.1,1850.3,1193,3743,6.2,400,431,56.9,0.188,718,61.5,0.134,-405
Ce,140.15,6.77,172,1.12,527.4,1020.8,1948.8,1068,3741,5.46,398,423,72,0.176,706,74.4,0.113,-324
Pr,140.908,6.77,183,1.13,523.1,1017.9,2086.4,1208,3790,6.89,296.8,356,73.2,0.19,707,70,0.125,-339
Nd,144.24,7,182,1.14,529.6,1035.3,2132.3,1297,3347,7.1,273,328,71.5,0.188,687,64.3,0.165,-336
Pm,144.913,7.26,181,1.13,535.9,1051.7,2151.6,1315,3300,7.7,,348,71.6,0.185,680,75,0.179,-331
Sm,150.36,7.52,180,1.17,543.3,1068.1,2257.7,1345,2067,8.62,164.8,206.7,69.6,0.2,431,94,0.133,-327
Eu,151.96,5.24,204,1.1,546.7,1084.6,2404.4,1095,1800,9.21,143.5,178,77.8,0.18,264,90,0.139,-324
Gd,157.25,7.9,180,1.2,592.5,1166.5,1990.5,1586,3546,10,359.4,398,68.1,0.23,664,131,0.105,-321
Tb,158.925,8.23,178,1.2,564.6,1111.5,2114,1629,3500,10.79,330.9,389,73.2,0.184,669,115,0.111,-318
Dy,162.5,8.55,177,1.22,571.9,1126,2199.9,1682,2840,11.06,230,291,74.8,0.173,648,92.6,0.107,-313
Ho,164.93,8.8,177,1.23,580.7,1138.5,2203.7,1747,2973,17.15,241,301,75.3,0.165,650,81.4,0.162,-308
Er,167.26,9.07,176,1.24,588.7,1151.1,2194.1,1802,3136,19.9,261,317.1,73.2,0.168,637,86,0.145,-301
Tm,168.934,9.33,175,1.25,596.7,1162.6,2284.8,1818,2220,16.8,191,232,74,0.169,,67.6,0.169,-300
Yb,173.04,6.97,194,1.2,603.4,1174.8,2416.9,1097,1467,7.66,128.9,152,59.9,0.144,320,25,0.385,-286
Lu,174.967,9.84,173,1.27,523.5,1341.1,2022.2,1936,3668,19.2,355.9,428,51,0.155,940,58.2,0.164,-295
